date,surge,heave,pitch,Elevation_2,Elevation_3,Elevation_4,Elevation_5,Elevation_6,Elevation_7,Elevation_8,Elevation_9,Elevation_10
0.0,0.0,0.0,-0.0,0.79718,0.79718,0.79718,0.79718,0.79718,0.79718,0.79718,0.79718,0.79718
0.0500359,0.0,-0.0001706481,-0.0,0.797172,0.797172,0.797173,0.797175,0.79718,0.79718,0.797173,0.797172,0.797172
0.100009,0.0,-0.00064975023,-0.0,0.797157,0.797158,0.797161,0.797167,0.797186,0.797186,0.797161,0.797157,0.797157
0.150001,0.0,-0.0013794899,-0.0,0.797148,0.79715,0.797156,0.79717,0.797212,0.797212,0.797156,0.797148,0.797147
0.20006,0.0,-0.0022887588,-0.0,0.797183,0.797112,0.797153,0.797208,0.797265,0.797268,0.797168,0.797153,0.79715
0.25005,7.1716038e-06,-0.0033135934,0.0062955508,0.797199,0.797216,0.79721,0.7972,0.797287,0.797346,0.797192,0.797166,0.797162
0.30001,-5.2458491e-06,-0.0044206383,-0.0040981135,0.797197,0.797209,0.79725,0.797307,0.797421,0.797458,0.79721,0.797166,0.797173
0.350021,1.7017255e-06,-0.0054659474,0.0015214824,0.797245,0.79723,0.797247,0.797325,0.797526,0.797554,0.79727,0.797154,0.797214
0.400023,-6.1043421e-07,-0.0063628195,-0.00034975033,0.797262,0.797243,0.797252,0.797333,0.797579,0.797609,0.797303,0.797203,0.797152
0.45003,-3.194205e-06,-0.0071272275,-0.0023764363,0.797226,0.797207,0.797227,0.797334,0.797634,0.797712,0.797272,0.797212,0.79715
0.500006,-4.6248909e-06,-0.0076833389,-0.0031960592,0.797153,0.797144,0.797193,0.797337,0.797702,0.797816,0.797277,0.79717,0.797163
0.550038,-5.9692788e-06,-0.008001486,-0.0039662163,0.797083,0.797086,0.797174,0.797368,0.797796,0.797922,0.797301,0.797148,0.797159
0.600054,-7.0814307e-06,-0.008080007,-0.0046033132,0.79704,0.797055,0.797198,0.797445,0.797924,0.798032,0.797336,0.797139,0.797163
0.650044,-8.6764975e-06,-0.0079623537,-0.0049707272,0.797036,0.79706,0.797263,0.797559,0.798073,0.798132,0.797375,0.797135,0.797181
0.700059,-1.1798838e-05,-0.0077047456,-0.0056667045,0.797069,0.797097,0.797355,0.797693,0.798219,0.798202,0.797415,0.797129,0.797205
0.750061,-1.7034429e-05,-0.0073752174,-0.0070268553,0.797111,0.797144,0.797451,0.797821,0.798333,0.798226,0.797452,0.797117,0.797234
0.80001,-2.571177e-05,-0.0070282667,-0.0098119216,0.797134,0.797177,0.797527,0.79792,0.798386,0.798201,0.79749,0.797103,0.797262
0.850061,-3.9647163e-05,-0.0066945236,-0.014515326,0.797119,0.79718,0.797572,0.797982,0.798367,0.798135,0.79754,0.797098,0.797295
0.900035,-5.8211121e-05,-0.006395176,-0.020775549,0.797076,0.797162,0.797595,0.798017,0.79829,0.79804,0.797612,0.797101,0.797333
0.950026,-8.0583612e-05,-0.006138771,-0.027576301,0.79703,0.797149,0.797621,0.798045,0.798166,0.79792,0.797713,0.79712,0.797367
1.00005,-0.00010933561,-0.0059365893,-0.035296752,0.797009,0.79716,0.797666,0.79808,0.798002,0.797773,0.797822,0.79715,0.797392
1.05006,-0.00014397832,-0.005801369,-0.04474717,0.797021,0.797204,0.797732,0.798119,0.797814,0.79756,0.797943,0.797154,0.797402
1.10002,-0.00018095028,-0.0057673478,-0.050073491,0.79707,0.797286,0.797801,0.798125,0.797581,0.797309,0.798013,0.797141,0.797405
1.15002,-0.00022578137,-0.0058115779,-0.057165106,0.797124,0.797359,0.797865,0.798107,0.797281,0.796967,0.798039,0.797129,0.797367
1.20003,-0.00027183952,-0.0059401265,-0.059506258,0.797191,0.797437,0.797877,0.797996,0.796925,0.796576,0.798039,0.797096,0.797331
1.25006,-0.00032367505,-0.0061382684,-0.06133384,0.797234,0.79747,0.79784,0.797842,0.796568,0.796186,0.798001,0.797078,0.797317
1.30001,-0.00037952467,-0.0063359586,-0.062185362,0.797264,0.79751,0.797786,0.797633,0.79621,0.795831,0.797944,0.797101,0.797327
1.35001,-0.0004363443,-0.0065018092,-0.060866409,0.797318,0.79756,0.79771,0.797388,0.795922,0.795557,0.797879,0.797165,0.797356
1.40002,-0.00049184261,-0.0066206929,-0.057702213,0.797388,0.797621,0.797628,0.797131,0.795746,0.795387,0.797793,0.797252,0.797389
