date,surge,heave,pitch,Elevation_2,Elevation_3,Elevation_4,Elevation_5,Elevation_6,Elevation_7,Elevation_8,Elevation_9,Elevation_10
1.85004,-0.0022799323,-0.0062758129,-0.046225045,0.797456,0.797118,0.796293,0.795928,0.797987,0.79793,0.7962,0.797495,0.797574
1.90001,-0.002482836,-0.0061548429,-0.051001512,0.797356,0.796964,0.796116,0.796138,0.798162,0.798098,0.796047,0.797393,0.797562
1.95006,-0.0026968109,-0.006043583,-0.056654006,0.797229,0.796799,0.795975,0.796418,0.79819,0.798126,0.795939,0.797274,0.797538
2.00004,-0.0029199568,-0.0059638264,-0.06264102,0.797095,0.796636,0.795889,0.796745,0.798077,0.798,0.795874,0.797136,0.797492
2.05003,-0.0031508909,-0.0059094828,-0.068172384,0.796948,0.796469,0.795859,0.797088,0.79785,0.79777,0.795877,0.796997,0.797447
2.10003,-0.0033882379,-0.0058729402,-0.071918289,0.796781,0.796298,0.795884,0.79743,0.797563,0.797476,0.795946,0.796866,0.797406
2.15005,-0.0036289568,-0.0058658904,-0.072687437,0.796599,0.79614,0.795977,0.797731,0.797256,0.797143,0.796069,0.796726,0.797355
2.20001,-0.0038716535,-0.0058843029,-0.070228569,0.796406,0.796005,0.796133,0.797956,0.796969,0.796832,0.796248,0.796586,0.7973
2.25002,-0.0041137101,-0.0059105898,-0.064679541,0.796186,0.795895,0.796333,0.798084,0.796744,0.79659,0.796484,0.79646,0.797252
2.30004,-0.00435226,-0.0059472869,-0.056579954,0.795951,0.795818,0.796565,0.798094,0.79659,0.796429,0.796755,0.796344,0.797206
2.35,-0.0045855912,-0.0059938716,-0.047129517,0.795716,0.795783,0.79681,0.797975,0.796505,0.796347,0.797035,0.796237,0.797153
2.40005,-0.0048127399,-0.0060345919,-0.037411772,0.795473,0.795784,0.797043,0.797738,0.796485,0.796349,0.797319,0.796149,0.797092
2.45004,-0.0050306125,-0.0060606819,-0.028930565,0.795225,0.795817,0.797246,0.797404,0.796517,0.796427,0.797581,0.796093,0.797034
2.50004,-0.005240229,-0.0060753693,-0.022271104,0.794991,0.795886,0.797391,0.796999,0.796582,0.79655,0.79779,0.796067,0.796974
2.55004,-0.0054384476,-0.0060778619,-0.01836617,0.794777,0.795974,0.797456,0.796584,0.796666,0.796699,0.797923,0.796072,0.796906
2.60003,-0.0056263816,-0.0060616735,-0.017308662,0.794577,0.796068,0.797421,0.79619,0.796761,0.796865,0.797972,0.796114,0.796837
2.65002,-0.0058029782,-0.0060300306,-0.019042107,0.794401,0.796156,0.797279,0.795865,0.796853,0.797031,0.79793,0.796203,0.796775
2.70004,-0.0059684533,-0.005994136,-0.02314371,0.794238,0.796216,0.797028,0.795642,0.796931,0.797176,0.79779,0.796328,0.796713
2.75002,-0.0061217847,-0.0059539258,-0.029027166,0.794078,0.796221,0.796679,0.795528,0.796985,0.797283,0.79756,0.796482,0.796643
2.80004,-0.0062656177,-0.0059101789,-0.036022188,0.793912,0.796156,0.796244,0.795522,0.797,0.797348,0.797266,0.796669,0.796577
2.85005,-0.0063999897,-0.0058723336,-0.043058397,0.793725,0.796001,0.795756,0.795608,0.796969,0.797365,0.796938,0.796883,0.796518
2.9,-0.0065238692,-0.0058461154,-0.049000768,0.7935,0.795746,0.79524,0.795743,0.796883,0.797328,0.79661,0.797108,0.796468
2.95006,-0.0066410089,-0.0058332776,-0.053269575,0.793219,0.795378,0.794727,0.795885,0.79674,0.797249,0.796304,0.797332,0.796424
3.00003,-0.0067506184,-0.005837812,-0.055414033,0.792872,0.794895,0.794252,0.795992,0.796551,0.797149,0.79606,0.797542,0.796403
3.05001,-0.0068564453,-0.0058604792,-0.055396375,0.792452,0.794316,0.793837,0.796029,0.796329,0.79704,0.79591,0.797728,0.79641
3.10001,-0.0069593735,-0.0059040227,-0.053721815,0.791934,0.793641,0.793499,0.795965,0.796086,0.796938,0.795859,0.797871,0.796442
3.15003,-0.0070629279,-0.0059703056,-0.050769506,0.791323,0.792894,0.793237,0.795792,0.795839,0.796851,0.795917,0.797958,0.796496
3.20003,-0.0071685882,-0.0060549246,-0.047385066,0.790605,0.792102,0.793044,0.795517,0.795596,0.796783,0.796082,0.79799,0.796576
3.25001,-0.0072794398,-0.0061546441,-0.044241959,0.789778,0.791286,0.792901,0.795149,0.795356,0.796731,0.796338,0.797965,0.796682
3.30006,-0.0073987285,-0.0062683893,-0.042105825,0.788849,0.790469,0.792773,0.794715,0.795116,0.796691,0.796648,0.797875,0.7968
3.35002,-0.0075299033,-0.0063943939,-0.0413132,0.787833,0.789673,0.792618,0.794233,0.794877,0.796659,0.796973,0.797724,0.796923
3.40006,-0.0076758026,-0.0065257451,-0.042396692,0.786749,0.78891,0.792395,0.793717,0.794633,0.796635,0.797286,0.797525,0.797054
3.45005,-0.0078401731,-0.0066630907,-0.04531713,0.785629,0.788198,0.792065,0.793179,0.794374,0.796619,0.797542,0.797291,0.797189
3.50002,-0.0080248906,-0.0068066319,-0.050055833,0.784502,0.787536,0.79161,0.792626,0.794093,0.796609,0.797709,0.797031,0.797311
3.55005,-0.0082317101,-0.0069550856,-0.05652452,0.783397,0.786918,0.790999,0.792057,0.793793,0.796604,0.797768,0.796772,0.797413
3.60002,-0.0084640487,-0.007108198,-0.064494615,0.782366,0.786349,0.79025,0.791486,0.793467,0.796602,0.797719,0.796533,0.797495
3.65005,-0.0087228053,-0.0072680209,-0.073933279,0.781447,0.785805,0.789367,0.7909,0.793099,0.796601,0.797578,0.796338,0.797554
3.70004,-0.0090103715,-0.0074365664,-0.084570708,0.780663,0.78527,0.788384,0.79031,0.792696,0.796594,0.797367,0.796203,0.797583
3.75002,-0.0093274459,-0.0076165635,-0.096259773,0.780034,0.784719,0.787352,0.789705,0.792244,0.796574,0.797114,0.79614,0.797576
3.80002,-0.0096787689,-0.00781113,-0.10898283,0.779604,0.78414,0.786322,0.789081,0.791745,0.796536,0.796862,0.79616,0.797534
3.85001,-0.010067231,-0.0080231221,-0.12275496,0.779378,0.78353,0.785339,0.788444,0.791201,0.79648,0.796644,0.796266,0.797461
3.90001,-0.01049587,-0.008255923,-0.13767544,0.779358,0.782876,0.784433,0.787787,0.790616,0.796403,0.796476,0.796445,0.797353
3.95003,-0.010968904,-0.0085127802,-0.15397047,0.779543,0.782198,0.783616,0.787128,0.789991,0.796302,0.796367,0.796673,0.79721
4.00003,-0.011492631,-0.0087958314,-0.17142361,0.779922,0.781516,0.782891,0.786468,0.789342,0.796171,0.796316,0.79693,0.797039
4.05005,-0.012071676,-0.0091067224,-0.19049192,0.780484,0.780877,0.782276,0.785791,0.788665,0.796011,0.796315,0.797196,0.796856
4.10005,-0.012712941,-0.009446317,-0.21075893,0.781208,0.780356,0.781764,0.785087,0.787968,0.795825,0.796347,0.797438,0.796671
4.15006,-0.013422776,-0.0098174638,-0.23203647,0.782104,0.78001,0.781337,0.784366,0.787261,0.795611,0.796384,0.797625,0.796491
4.20006,-0.014209604,-0.010222033,-0.2536902,0.783152,0.779895,0.780983,0.783655,0.786546,0.79537,0.796408,0.797736,0.79633
4.25004,-0.015078311,-0.010657618,-0.27524682,0.784357,0.780044,0.780739,0.782973,0.785828,0.795108,0.796404,0.79776,0.796201
4.30003,-0.016036323,-0.011127187,-0.29605138,0.78573,0.780495,0.780632,0.782337,0.78512,0.794837,0.796361,0.797694,0.79612
4.35006,-0.017091136,-0.011629138,-0.31495238,0.787283,0.781271,0.780662,0.781775,0.784447,0.794554,0.796274,0.797536,0.796091
4.40002,-0.018244333,-0.012159196,-0.33123296,0.789022,0.78238,0.780823,0.781332,0.78381,0.794259,0.79614,0.797296,0.796116
4.45005,-0.019504099,-0.012719762,-0.34413523,0.790982,0.783816,0.781163,0.781015,0.783217,0.79395,0.795967,0.796995,0.796193
4.50003,-0.020870941,-0.013303041,-0.35287485,0.793165,0.785544,0.781694,0.780832,0.78269,0.793635,0.795765,0.79667,0.796318
4.55003,-0.022349765,-0.013906719,-0.35699638,0.795567,0.787512,0.782425,0.780783,0.782254,0.793301,0.795535,0.796338,0.796481
4.60005,-0.023944888,-0.014528616,-0.35624725,0.798158,0.789673,0.783398,0.780909,0.781931,0.792943,0.795278,0.796023,0.796663
4.65003,-0.025654278,-0.015156999,-0.35055699,0.800899,0.791976,0.784619,0.781237,0.781734,0.792566,0.794997,0.79576,0.796843
4.70004,-0.027483075,-0.015786803,-0.34013117,0.803733,0.794398,0.786063,0.781769,0.781653,0.79216,0.794706,0.795562,0.797009
4.75003,-0.029427483,-0.016409409,-0.32551332,0.806576,0.79689,0.787724,0.782537,0.781704,0.791727,0.7944,0.795437,0.797143
4.80006,-0.031488005,-0.017015155,-0.30697954,0.809334,0.79944,0.789599,0.783562,0.781907,0.791264,0.794079,0.79538,0.797217
4.85,-0.033656184,-0.017587658,-0.28513206,0.811885,0.801997,0.791671,0.78482,0.782272,0.790772,0.793759,0.795379,0.797218
4.90001,-0.035930949,-0.018122816,-0.260435,0.814125,0.804545,0.793923,0.786295,0.782823,0.790253,0.793437,0.795413,0.797135
4.95003,-0.038302583,-0.018605804,-0.23277687,0.81594,0.807019,0.79633,0.78797,0.783598,0.789708,0.79311,0.795453,0.796967
5.00004,-0.040757094,-0.019018377,-0.20232483,0.817223,0.809366,0.798841,0.789851,0.78458,0.789144,0.792781,0.795465,0.796719
5.05005,-0.043281184,-0.019351853,-0.16855629,0.817896,0.811503,0.801414,0.79191,0.785759,0.788575,0.792444,0.79542,0.796398
5.10003,-0.045857284,-0.019592644,-0.13122697,0.817896,0.813356,0.803976,0.79412,0.787137,0.788004,0.792082,0.795296,0.796022
5.15004,-0.048467715,-0.01972452,-0.089482553,0.817202,0.814859,0.806475,0.796447,0.788714,0.787459,0.7917,0.795075,0.795626
5.20006,-0.051091469,-0.019735268,-0.0427381,0.815826,0.81595,0.808825,0.798846,0.790477,0.786929,0.791286,0.794761,0.795222
5.25004,-0.053699579,-0.019612049,0.0097883644,0.813797,0.816536,0.810949,0.801276,0.792408,0.786432,0.79084,0.79436,0.794841
5.30002,-0.056268077,-0.019338582,0.068757685,0.811189,0.816547,0.812776,0.803682,0.794491,0.785955,0.790374,0.793886,0.794503
5.35002,-0.058768801,-0.018902978,0.13451007,0.808093,0.815952,0.81423,0.806005,0.796695,0.785521,0.789885,0.793371,0.794216
5.40004,-0.061169641,-0.018294133,0.20692337,0.804618,0.814783,0.81528,0.808198,0.798981,0.785122,0.789388,0.792831,0.793988
