date,surge,heave,pitch,Elevation_2,Elevation_3,Elevation_4,Elevation_5,Elevation_6,Elevation_7,Elevation_8,Elevation_9,Elevation_10
0.0,0.0,0.0,-0.0,0.79718,0.79718,0.79718,0.79718,0.79718,0.79718,0.79718,0.79718,0.79718
0.0500256,0.0,-0.0001706481,-0.0,0.797172,0.797172,0.797173,0.797175,0.79718,0.79718,0.797173,0.797172,0.797172
0.100018,0.0,-0.00064986944,-0.0,0.797157,0.797158,0.797161,0.797167,0.797185,0.797186,0.79716,0.797157,0.797157
0.150005,0.0,-0.0013796687,-0.0,0.797148,0.79715,0.797156,0.79717,0.797212,0.797212,0.797155,0.797147,0.797147
0.200054,0.0,-0.0022888184,-0.0,0.797159,0.797136,0.797165,0.797198,0.797267,0.797268,0.797167,0.797152,0.79715
0.250044,2.9841517e-06,-0.0033235057,0.0022563189,0.797191,0.797204,0.797196,0.79721,0.797321,0.797346,0.797191,0.797166,0.797162
0.300033,-4.1438692e-06,-0.0044071203,-0.0029204908,0.797197,0.797228,0.797259,0.797301,0.797424,0.79744,0.797219,0.797174,0.797171
0.350023,-4.8711376e-07,-0.0054653626,-0.00027909389,0.797214,0.797249,0.797293,0.797363,0.797538,0.797549,0.797255,0.79718,0.797187
0.400011,5.0764048e-07,-0.0063852247,0.0008372869,0.797226,0.79726,0.797307,0.797399,0.797631,0.797613,0.797298,0.797198,0.797164
0.450052,9.0224805e-07,-0.0071439651,0.0010633897,0.797212,0.797243,0.797297,0.797413,0.797705,0.797681,0.797285,0.797208,0.797139
0.500017,5.3846984e-07,-0.0077033988,0.00085495147,0.79718,0.79721,0.797278,0.797424,0.797777,0.797765,0.797272,0.797198,0.797152
0.550047,-9.2500786e-08,-0.0080410314,0.00049342134,0.797151,0.797181,0.797271,0.797453,0.797861,0.797861,0.79727,0.797186,0.797161
0.600021,-1.2969172e-06,-0.0081544878,-0.00019666283,0.797132,0.79716,0.797283,0.797501,0.797956,0.79797,0.797285,0.797192,0.797171
0.650006,-4.5526515e-06,-0.0080789955,-0.0015155966,0.797125,0.797151,0.797314,0.797573,0.79806,0.798085,0.797313,0.797212,0.797189
0.700053,-1.1269922e-05,-0.0078622896,-0.0037248109,0.797125,0.797152,0.797357,0.797659,0.798161,0.798191,0.797346,0.797238,0.797213
0.750044,-2.3843781e-05,-0.0075581677,-0.0071033968,0.797127,0.797162,0.797402,0.797744,0.798241,0.798268,0.797378,0.797269,0.797239
0.800026,-4.2755864e-05,-0.00721937,-0.011380516,0.797131,0.797184,0.797443,0.797818,0.798287,0.798307,0.797408,0.797304,0.797264
0.850001,-7.2324957e-05,-0.0068837979,-0.016298255,0.797139,0.797219,0.797475,0.797878,0.798293,0.798305,0.797436,0.797341,0.797295
0.90003,-0.00011383365,-0.0065764384,-0.02149858,0.797152,0.797267,0.797504,0.797932,0.798258,0.79826,0.797464,0.797383,0.797336
0.950005,-0.00016812086,-0.0063223149,-0.026915627,0.797167,0.797325,0.797528,0.797973,0.798175,0.798167,0.797492,0.79743,0.797386
1.00003,-0.00023702697,-0.0061379231,-0.031965282,0.797187,0.797392,0.797558,0.798002,0.798037,0.798011,0.797517,0.797479,0.797444
1.05005,-0.00032142898,-0.0060490235,-0.036603923,0.797215,0.797465,0.797584,0.798001,0.79783,0.797794,0.797531,0.797527,0.797494
1.10002,-0.00041974327,-0.0060298827,-0.039926048,0.797255,0.797542,0.797613,0.797983,0.79758,0.797517,0.79754,0.797573,0.797537
1.15006,-0.00053352379,-0.0060953865,-0.041730114,0.797295,0.797613,0.797636,0.797927,0.797268,0.797196,0.797551,0.797608,0.797568
1.20003,-0.00065973643,-0.0062047732,-0.041372064,0.797344,0.797681,0.797649,0.797837,0.796925,0.796848,0.797561,0.797639,0.797602
1.25005,-0.00079683242,-0.0063613208,-0.039056903,0.797396,0.797743,0.797655,0.79771,0.796572,0.796504,0.797584,0.797656,0.797617
1.30006,-0.00094392266,-0.0065250552,-0.034820977,0.797446,0.797786,0.797635,0.797529,0.796219,0.796179,0.797598,0.797653,0.797626
