date,surge,heave,pitch,Elevation_2,Elevation_3,Elevation_4,Elevation_5,Elevation_6,Elevation_7,Elevation_8,Elevation_9,Elevation_10
0.0,0.0,0.0,-0.0,0.79718,0.79718,0.79718,0.79718,0.79718,0.79718,0.79718,0.79718,0.79718
0.0500096,0.0,-0.00017052889,-0.0,0.797172,0.797172,0.797173,0.797175,0.79718,0.797179,0.797173,0.797172,0.797172
0.100032,0.0,-0.00064998865,-0.0,0.797157,0.797158,0.797161,0.797167,0.797186,0.797186,0.797161,0.797157,0.797157
0.150016,0.0,-0.0013797879,-0.0,0.797147,0.79715,0.797156,0.79717,0.797212,0.797212,0.797156,0.797147,0.797146
0.200004,0.0,-0.0022877455,-0.0,0.797168,0.79712,0.797163,0.797201,0.797266,0.797267,0.797167,0.797152,0.79715
0.250054,4.7162696e-06,-0.0033215791,0.0043418796,0.797219,0.797232,0.797201,0.797192,0.797303,0.797345,0.79719,0.797165,0.797162
0.300043,-6.4918416e-06,-0.0044122795,-0.0053581697,0.797218,0.79726,0.797288,0.797312,0.797412,0.797445,0.797217,0.79717,0.797172
0.350031,-1.1283922e-06,-0.005491416,-0.00064651188,0.797237,0.797282,0.797327,0.797388,0.797542,0.797565,0.797259,0.797167,0.797199
0.400015,1.2865744e-06,-0.0064127425,0.0012836037,0.797257,0.797297,0.797343,0.797425,0.79764,0.797612,0.797322,0.797191,0.797153
0.450057,1.5537542e-06,-0.0071718796,0.0014366956,0.79725,0.797282,0.797329,0.797434,0.797709,0.797669,0.797306,0.797223,0.797125
0.500027,7.8920917e-07,-0.0077301922,0.00099862032,0.79722,0.797251,0.797302,0.797435,0.797774,0.797749,0.797287,0.797221,0.797154
0.550053,-7.5431084e-07,-0.0080672122,0.00011422713,0.797175,0.797218,0.797284,0.797445,0.797843,0.797847,0.797284,0.797209,0.797172
0.60003,-1.8046238e-06,-0.0081713385,-0.0010339498,0.797128,0.797192,0.797277,0.797473,0.797926,0.797965,0.797301,0.79721,0.797181
0.650011,-3.8970995e-06,-0.0080738397,-0.0022327645,0.797088,0.797176,0.797291,0.797526,0.798026,0.798095,0.797332,0.797215,0.797184
0.700049,-6.5325527e-06,-0.007825675,-0.0042888903,0.797063,0.797178,0.797327,0.797605,0.798136,0.798215,0.797364,0.797219,0.797173
0.750028,-1.0523486e-05,-0.007483287,-0.0076674753,0.797061,0.797201,0.797383,0.797699,0.798231,0.798301,0.797389,0.797215,0.797146
0.800007,-1.6910966e-05,-0.0071070187,-0.01241798,0.797087,0.797243,0.797451,0.797798,0.798298,0.798337,0.797406,0.797203,0.797108
0.850035,-2.5412708e-05,-0.0067443692,-0.018377945,0.79713,0.797298,0.797529,0.797889,0.798316,0.798319,0.797421,0.797193,0.79707
0.900012,-3.7913878e-05,-0.0064311584,-0.024987918,0.79718,0.797356,0.797611,0.797959,0.79827,0.798249,0.797447,0.797188,0.797042
0.950048,-5.2626992e-05,-0.0061842484,-0.031224603,0.797223,0.797409,0.797686,0.798,0.798155,0.798129,0.797495,0.797204,0.797025
1.00002,-7.1007915e-05,-0.0060166255,-0.036830038,0.79725,0.797453,0.797754,0.798011,0.797969,0.797962,0.79757,0.79724,0.797031
1.05006,-9.1943455e-05,-0.0059286905,-0.04225887,0.79726,0.797491,0.797806,0.797987,0.797723,0.797745,0.797681,0.797289,0.79704
1.10004,-0.00011133959,-0.0059243197,-0.043534176,0.79726,0.797532,0.797846,0.797923,0.797423,0.797499,0.797795,0.797336,0.797071
1.15001,-0.00013425578,-0.0059813129,-0.045731606,0.797258,0.797565,0.797878,0.797851,0.797083,0.7972,0.797896,0.7974,0.797077
1.20004,-0.00015371543,-0.0060845118,-0.043225651,0.797281,0.797621,0.797895,0.797733,0.796723,0.796855,0.797994,0.797446,0.797063
1.25005,-0.00017163635,-0.0062425632,-0.038748377,0.797322,0.797662,0.797884,0.797606,0.796383,0.796509,0.79806,0.797473,0.79705
1.30001,-0.00019136788,-0.0064213008,-0.033669281,0.797367,0.797704,0.797861,0.797459,0.796056,0.796179,0.798074,0.797496,0.797047
1.35002,-0.00021104269,-0.0065930892,-0.028010865,0.797429,0.797737,0.797804,0.797273,0.795774,0.795892,0.798045,0.797527,0.797057
1.40004,-0.00023044741,-0.0067383172,-0.021650552,0.797489,0.797743,0.797704,0.797053,0.79557,0.795684,0.797976,0.797567,0.797077
1.45,-0.00025068131,-0.0068426784,-0.015217199,0.797534,0.797718,0.797572,0.796817,0.795472,0.795579,0.797875,0.79761,0.797105
1.50001,-0.00027319005,-0.0068921892,-0.009538714,0.797563,0.79767,0.797419,0.796577,0.795504,0.795601,0.797741,0.797649,0.797134
