date,surge,heave,pitch,Elevation_2,Elevation_3,Elevation_4,Elevation_5,Elevation_6,Elevation_7,Elevation_8,Elevation_9,Elevation_10
0.0,0.0,0.0,-0.0,0.79718,0.79718,0.79718,0.79718,0.79718,0.79718,0.79718,0.79718,0.79718
0.0500252,0.0,-0.0001706481,-0.0,0.797172,0.797172,0.797173,0.797175,0.79718,0.79718,0.797173,0.797172,0.797172
0.1,0.0,-0.00064963102,-0.0,0.797157,0.797158,0.797161,0.797167,0.797186,0.797186,0.797161,0.797157,0.797157
0.150015,0.0,-0.0013796687,-0.0,0.797148,0.79715,0.797156,0.797171,0.797212,0.797212,0.797156,0.797147,0.797147
0.200012,0.0,-0.0022879243,-0.0,0.797096,0.797223,0.79718,0.797177,0.79727,0.797268,0.797167,0.797152,0.79715
0.250042,-1.1155783e-05,-0.0033398429,-0.0096682434,0.797053,0.797017,0.797139,0.79731,0.797437,0.797344,0.797191,0.797166,0.797162
0.300001,1.5284105e-05,-0.0043596226,0.012038799,0.797136,0.797072,0.797063,0.797194,0.797465,0.79741,0.797232,0.797197,0.797172
0.350007,-1.9485605e-06,-0.0053050087,-0.0016627976,0.797154,0.797109,0.797103,0.797194,0.797471,0.797462,0.797217,0.797258,0.79713
0.40002,-6.8719343e-06,-0.0062536488,-0.0050296061,0.79713,0.797107,0.797123,0.797233,0.797542,0.797661,0.797152,0.79721,0.797256
0.450003,-5.9633023e-06,-0.0070222568,-0.0045091067,0.797075,0.797069,0.797117,0.797272,0.797638,0.797781,0.797195,0.797087,0.797224
0.500038,-4.5940575e-06,-0.0075726706,-0.0031783954,0.79703,0.797049,0.797138,0.797337,0.797761,0.797867,0.797212,0.797048,0.79713
0.550012,-2.7994622e-06,-0.0078932397,-0.0016039174,0.797028,0.797083,0.797209,0.797434,0.797905,0.797941,0.797214,0.797041,0.79708
0.600053,-1.3996823e-06,-0.0080024775,-0.00025554231,0.797093,0.797163,0.797311,0.797553,0.798055,0.798011,0.797213,0.797055,0.797075
0.650049,-1.0358987e-06,-0.0079477758,0.00049930943,0.797193,0.797261,0.797429,0.797683,0.79819,0.798077,0.797217,0.797083,0.797095
0.700003,-4.4190471e-06,-0.0077774319,-0.0014390519,0.797294,0.797346,0.797528,0.797794,0.798265,0.79813,0.797232,0.797128,0.797127
0.750057,-1.2937531e-05,-0.0075271381,-0.0057726861,0.797364,0.797386,0.797575,0.797852,0.798256,0.798168,0.797272,0.79719,0.797166
0.800052,-2.7082663e-05,-0.0072328656,-0.012235464,0.797361,0.797363,0.797565,0.797869,0.798178,0.7982,0.797349,0.797264,0.797208
0.850045,-4.6653049e-05,-0.0069115748,-0.020164374,0.797307,0.797305,0.797525,0.797869,0.798056,0.798237,0.797462,0.797345,0.797246
0.900035,-7.0582066e-05,-0.0065680187,-0.028401811,0.797243,0.797259,0.797496,0.797885,0.797926,0.798267,0.797601,0.79743,0.797273
0.950055,-9.9853301e-05,-0.0062313263,-0.036419014,0.797214,0.797269,0.797525,0.797954,0.797819,0.798266,0.797746,0.797485,0.797291
1.00003,-0.00013175855,-0.0059487235,-0.042667464,0.797255,0.797369,0.797625,0.798066,0.797721,0.798202,0.797878,0.797492,0.797283
1.05006,-0.00016070421,-0.0057640712,-0.043404677,0.797358,0.797532,0.797771,0.798178,0.797581,0.798068,0.797923,0.797483,0.797262
1.10003,-0.00020046267,-0.0056813107,-0.049779189,0.797484,0.797693,0.797918,0.798272,0.797374,0.79775,0.797954,0.797442,0.797175
1.15002,-0.00023103836,-0.0057760756,-0.045995483,0.797618,0.797868,0.797988,0.798206,0.797077,0.797377,0.797949,0.797332,0.797168
1.20005,-0.00027517263,-0.0059867652,-0.051054486,0.797649,0.797918,0.798006,0.798108,0.79671,0.796971,0.797865,0.797285,0.79721
1.25005,-0.00031906285,-0.0061873731,-0.053792446,0.797669,0.797988,0.797968,0.797858,0.796248,0.796531,0.797803,0.797322,0.797272
1.30003,-0.00035876056,-0.0063836994,-0.053043455,0.797705,0.797986,0.797835,0.79756,0.795862,0.796146,0.797798,0.797407,0.797347
1.35001,-0.00040047292,-0.0065454261,-0.052355778,0.797712,0.797964,0.797723,0.797306,0.795612,0.795887,0.797818,0.797509,0.797426
