date,surge,heave,pitch,Elevation_2,Elevation_3,Elevation_4,Elevation_5,Elevation_6,Elevation_7,Elevation_8,Elevation_9,Elevation_10
0.0,0.0,0.0,-0.0,0.79718,0.79718,0.79718,0.79718,0.79718,0.79718,0.79718,0.79718,0.79718
0.0500611,0.0,-0.00017082691,-0.0,0.797172,0.797172,0.797173,0.797175,0.79718,0.79718,0.797173,0.797172,0.797172
0.100044,0.0,-0.00065010786,-0.0,0.797157,0.797158,0.797161,0.797167,0.797186,0.797186,0.797161,0.797157,0.797157
0.15003,0.0,-0.0013800263,-0.0,0.797147,0.79715,0.797156,0.79717,0.797212,0.797212,0.797156,0.797147,0.797146
0.200018,0.0,-0.0022881031,-0.0,0.797161,0.79713,0.797164,0.797199,0.797266,0.797268,0.797167,0.797152,0.79715
0.250008,3.3683433e-06,-0.0033220825,0.0030229479,0.797202,0.797216,0.797197,0.797203,0.797314,0.797345,0.797191,0.797165,0.797162
0.300059,-4.8305981e-06,-0.0044090997,-0.0038602336,0.797203,0.79724,0.797271,0.797306,0.797419,0.797442,0.79722,0.797173,0.797171
0.350048,-5.5905177e-07,-0.0054759712,-0.00032031079,0.797221,0.79726,0.797306,0.797374,0.797541,0.797556,0.797257,0.797175,0.797192
0.400035,1.2249168e-06,-0.006395601,0.0012482746,0.797235,0.797272,0.797321,0.797411,0.797636,0.797611,0.797309,0.797197,0.79716
0.450012,1.4715454e-06,-0.0071529582,0.0013895905,0.797225,0.797259,0.797311,0.797424,0.797708,0.797675,0.797293,0.797217,0.797133
0.500045,1.2968501e-06,-0.0077100037,0.0012894916,0.797192,0.797225,0.797291,0.797432,0.797777,0.797759,0.797281,0.797216,0.797161
0.550011,1.4920974e-06,-0.0080442778,0.0014013666,0.797153,0.797188,0.797277,0.797452,0.797852,0.797856,0.797283,0.797198,0.797176
0.600047,1.7119255e-06,-0.0081502683,0.0020737849,0.797119,0.797157,0.797282,0.797498,0.797943,0.797971,0.797308,0.797194,0.797202
0.65003,3.0806277e-06,-0.0080667869,0.0028580778,0.797092,0.797129,0.797304,0.797569,0.798044,0.798095,0.797348,0.797195,0.797229
0.700021,4.8501665e-06,-0.0078370244,0.0033255967,0.797072,0.797109,0.797343,0.797662,0.798145,0.798209,0.797398,0.797196,0.797253
0.750008,6.157438e-06,-0.0075167583,0.0029817306,0.797066,0.797096,0.797393,0.797762,0.798225,0.798293,0.797454,0.797191,0.797275
0.800049,7.0702775e-06,-0.0071633191,0.0013189327,0.797076,0.79709,0.79745,0.797861,0.79827,0.798333,0.797514,0.797181,0.797289
0.850029,6.9016425e-06,-0.006816714,-0.0020561241,0.797101,0.797097,0.797511,0.797948,0.798263,0.798323,0.79758,0.797171,0.797301
0.900004,3.7510984e-06,-0.0065077202,-0.0071387236,0.797142,0.797122,0.797569,0.798018,0.7982,0.798262,0.797653,0.79717,0.797313
0.950032,-1.0327548e-06,-0.0062569398,-0.013701591,0.797189,0.79716,0.797617,0.798065,0.798077,0.798151,0.797731,0.797185,0.797322
1.00006,-9.8461945e-06,-0.0060814545,-0.021477427,0.797234,0.79721,0.797653,0.798082,0.797894,0.797983,0.79781,0.797211,0.797332
1.05002,-2.2671448e-05,-0.0059900134,-0.029909133,0.797277,0.797274,0.79768,0.798061,0.797653,0.79776,0.797884,0.797243,0.797329
1.10005,-3.7025519e-05,-0.005984162,-0.037030181,0.797318,0.797346,0.797698,0.798,0.797358,0.797488,0.797943,0.797274,0.797327
1.15,-5.4745241e-05,-0.0060495965,-0.043892229,0.797362,0.79742,0.797705,0.797901,0.797017,0.797166,0.797979,0.797309,0.797306
1.20003,-7.4217248e-05,-0.0061685658,-0.047937368,0.797414,0.797497,0.797704,0.797759,0.796659,0.796816,0.797998,0.79734,0.797277
1.25,-9.6009427e-05,-0.00632397,-0.04949176,0.797475,0.79757,0.797691,0.797581,0.796305,0.796476,0.797997,0.797371,0.797254
1.30004,-0.00011900881,-0.0064879572,-0.049010092,0.797539,0.797634,0.797666,0.797374,0.79598,0.79617,0.797971,0.797406,0.797244
1.35001,-0.00014302198,-0.0066428366,-0.046926944,0.797598,0.797675,0.797613,0.797128,0.795711,0.795926,0.797922,0.797452,0.797247
1.40005,-0.00016955489,-0.0067722719,-0.043557721,0.797661,0.797715,0.797556,0.796878,0.795539,0.795781,0.797847,0.797499,0.797259
1.45003,-0.00019656729,-0.0068643237,-0.039371316,0.797701,0.797723,0.797462,0.796604,0.795461,0.795739,0.797735,0.797539,0.797269
1.50006,-0.00022645233,-0.0069066999,-0.035190792,0.797737,0.797724,0.797362,0.796339,0.795511,0.795815,0.797599,0.797584,0.797296
1.55004,-0.00025819038,-0.0068950348,-0.030978415,0.797754,0.797701,0.797237,0.796079,0.795685,0.796006,0.797428,0.797614,0.797315
1.60002,-0.00029265328,-0.0068412221,-0.027778866,0.797742,0.797642,0.797085,0.795844,0.795961,0.796299,0.797226,0.797626,0.797339
1.65004,-0.00033107248,-0.0067466492,-0.025205739,0.797724,0.79756,0.796923,0.795659,0.796338,0.796664,0.797011,0.797629,0.797368
1.70003,-0.00037182128,-0.00661771,-0.023965732,0.797687,0.797446,0.796748,0.79554,0.796765,0.797068,0.796793,0.7976,0.797393
1.75002,-0.0004167674,-0.0064758407,-0.024036378,0.797619,0.797296,0.796553,0.795491,0.797191,0.797461,0.796574,0.797546,0.797429
1.80002,-0.00046410029,-0.0063228265,-0.02547306,0.797527,0.797124,0.796354,0.795536,0.797583,0.797795,0.796375,0.797476,0.797474
1.85002,-0.00051327633,-0.006168016,-0.028510185,0.797417,0.796948,0.796173,0.795679,0.797887,0.798034,0.796203,0.79738,0.797517
1.90003,-0.00056543469,-0.0060341875,-0.032161962,0.79728,0.796764,0.796011,0.795907,0.798067,0.798139,0.796062,0.797269,0.79755
1.95005,-0.00061960854,-0.0059232783,-0.035875023,0.79712,0.796576,0.795891,0.796216,0.798108,0.798108,0.795971,0.79715,0.797582
2.00003,-0.00067652377,-0.0058362646,-0.038428077,0.796957,0.796402,0.795829,0.796589,0.798025,0.797952,0.795932,0.797029,0.797605
2.05001,-0.00073581948,-0.0057829262,-0.039615091,0.796789,0.796241,0.79583,0.79699,0.797843,0.797698,0.79594,0.796907,0.797612
2.10001,-0.00079780831,-0.0057637335,-0.039615091,0.796608,0.796085,0.795884,0.797382,0.797589,0.797388,0.795999,0.796785,0.797608
2.15006,-0.00086198335,-0.0057663065,-0.038683625,0.79643,0.795954,0.795999,0.797726,0.797318,0.79707,0.796118,0.796674,0.79759
2.20005,-0.00093003333,-0.0057897058,-0.037241062,0.796265,0.795863,0.796187,0.797995,0.797072,0.796788,0.796287,0.796567,0.797551
2.25005,-0.0010009403,-0.0058311163,-0.035796074,0.7961,0.795796,0.796411,0.798152,0.796876,0.796562,0.79649,0.796463,0.797492
2.30004,-0.0010748375,-0.0058805533,-0.034970564,0.795943,0.795766,0.796664,0.798174,0.796746,0.79641,0.796719,0.796372,0.797417
2.35002,-0.0011503307,-0.0059305931,-0.03451245,0.795817,0.795792,0.796938,0.798071,0.796695,0.796341,0.796962,0.796301,0.797331
2.40002,-0.0012270184,-0.0059751441,-0.034192149,0.795718,0.795872,0.797214,0.797851,0.79671,0.796342,0.797202,0.796245,0.797233
2.45001,-0.0013033727,-0.006015461,-0.033681054,0.795646,0.795994,0.797452,0.797535,0.79677,0.796397,0.797408,0.796211,0.797125
2.50001,-0.0013764591,-0.0060461798,-0.032391546,0.795619,0.796172,0.797639,0.797163,0.796868,0.796489,0.797567,0.796206,0.797016
