date,surge,heave,pitch,Elevation_2,Elevation_3,Elevation_4,Elevation_5,Elevation_6,Elevation_7,Elevation_8,Elevation_9,Elevation_10
0.0,0.0,0.0,-0.0,0.79718,0.79718,0.79718,0.79718,0.79718,0.79718,0.79718,0.79718,0.79718
0.0500333,0.0,-0.0001707077,-0.0,0.797172,0.797172,0.797173,0.797175,0.79718,0.79718,0.797173,0.797172,0.797172
0.100039,0.0,-0.00065010786,-0.0,0.797157,0.797158,0.797161,0.797167,0.797186,0.797186,0.797161,0.797157,0.797157
0.15005,0.0,-0.0013803244,-0.0,0.797148,0.79715,0.797156,0.79717,0.797212,0.797212,0.797156,0.797147,0.797147
0.200035,0.0,-0.0022883415,-0.0,0.7971,0.797227,0.797178,0.797176,0.797271,0.797267,0.797168,0.797152,0.79715
0.250018,-1.1468338e-05,-0.0033371546,-0.0098472477,0.797041,0.797018,0.797149,0.797317,0.797435,0.797344,0.797191,0.797166,0.797162
0.300042,1.5832593e-05,-0.0043674916,0.012353226,0.797118,0.797058,0.797062,0.797205,0.797479,0.797414,0.797231,0.797198,0.797171
0.350032,1.438664e-07,-0.005302014,-0.00046398101,0.797139,0.797093,0.797093,0.797196,0.797483,0.797453,0.797225,0.797256,0.79713
0.400002,-5.6816611e-06,-0.0062409478,-0.0043477693,0.797117,0.797094,0.797113,0.797233,0.797551,0.797649,0.797149,0.79722,0.797252
0.450021,-5.6816611e-06,-0.0070093709,-0.0043477693,0.797067,0.797062,0.797114,0.797274,0.797645,0.797775,0.797184,0.797093,0.797236
0.500002,-4.6968362e-06,-0.0075563204,-0.0032372751,0.797024,0.797045,0.797143,0.797347,0.79777,0.797862,0.797205,0.797047,0.797153
0.550013,-3.0810659e-06,-0.0078729258,-0.0017652525,0.797029,0.797078,0.797219,0.797455,0.797915,0.797929,0.797216,0.797032,0.797098
0.60004,-1.9690194e-06,-0.0079754242,0.00051108605,0.797092,0.797149,0.797317,0.797585,0.79807,0.797983,0.797225,0.797037,0.797082
0.65003,-1.149195e-06,-0.0079082139,0.0026202,0.797178,0.797228,0.79742,0.797722,0.798212,0.798027,0.797245,0.797057,0.797097
