date,surge,heave,pitch,Elevation_2,Elevation_3,Elevation_4,Elevation_5,Elevation_6,Elevation_7,Elevation_8,Elevation_9,Elevation_10
0.0,0.0,0.0,-0.0,0.79718,0.79718,0.79718,0.79718,0.79718,0.79718,0.79718,0.79718,0.79718
0.0500354,0.0,-0.0001707077,-0.0,0.797172,0.797172,0.797173,0.797175,0.79718,0.79718,0.797173,0.797172,0.797172
0.100007,0.0,-0.00064980984,-0.0,0.797157,0.797158,0.797161,0.797167,0.797186,0.797186,0.797161,0.797157,0.797157
0.150055,0.0,-0.0013804436,-0.0,0.797147,0.79715,0.797156,0.79717,0.797212,0.797212,0.797156,0.797147,0.797147
0.200043,0.0,-0.0022887588,-0.0,0.797164,0.797125,0.797164,0.7972,0.797266,0.797267,0.797167,0.797152,0.79715
0.250032,4.506836e-06,-0.0033221874,0.0036753514,0.797212,0.797225,0.797199,0.797196,0.797309,0.797345,0.797191,0.797165,0.797162
0.300021,-6.3641602e-06,-0.0044093197,-0.004738735,0.797211,0.797251,0.797281,0.797309,0.797414,0.797442,0.797219,0.797171,0.79717
0.35001,-1.0050693e-06,-0.0054843333,-0.00057585498,0.797228,0.797272,0.797318,0.797382,0.797542,0.797562,0.797257,0.797171,0.797194
0.400057,1.2557464e-06,-0.0064055725,0.0012659396,0.797246,0.797286,0.797334,0.797419,0.797638,0.797611,0.797316,0.797193,0.797157
0.450035,1.3071262e-06,-0.0071630375,0.0012953797,0.797236,0.797271,0.79732,0.797428,0.797707,0.79767,0.797298,0.797219,0.797132
0.500007,1.7879608e-07,-0.0077176392,0.00064886685,0.797206,0.79724,0.797298,0.797438,0.797775,0.79775,0.797285,0.797218,0.797158
0.550036,-1.28666e-06,-0.008048,-0.00073718991,0.797166,0.797207,0.797279,0.797459,0.797848,0.797846,0.797288,0.797216,0.797171
0.600003,-4.6556017e-06,-0.0081437673,-0.0026673078,0.797132,0.797186,0.797275,0.797504,0.797932,0.797955,0.797309,0.79723,0.797176
0.650026,-1.0758581e-05,-0.008039701,-0.0050708212,0.797115,0.797179,0.797287,0.797571,0.798026,0.798073,0.797341,0.797252,0.797178
0.700008,-1.9312481e-05,-0.0077869358,-0.0083316453,0.797115,0.797192,0.797317,0.797656,0.798128,0.798186,0.797371,0.797277,0.797175
0.750042,-3.2420662e-05,-0.007441668,-0.01256166,0.797135,0.797228,0.797365,0.797749,0.798217,0.79827,0.797392,0.797298,0.797163
